ID,MEDV
0,16.397410
5,28.035622
10,17.806567
14,19.076314
19,16.637172
23,17.675094
32,14.340099
37,15.190618
50,17.995156
51,18.814813
54,21.509588
58,24.442798
59,19.165931
62,24.907375
67,18.620854
69,18.308061
81,22.356041
84,20.238221
87,15.793276
92,19.024159
96,15.209593
102,10.879576
103,17.784153
107,17.474254
109,18.443780
110,18.824773
115,13.546953
120,23.473672
122,23.666521
123,21.627400
135,24.427296
140,19.806363
141,20.033366
149,15.460268
154,15.708213
161,76.727368
165,16.512172
172,15.168519
176,15.370797
180,47.405361
200,34.445635
206,23.786113
211,18.659899
215,21.888668
219,20.451692
222,22.845119
223,25.786422
226,43.652803
229,22.246880
233,80.352491
234,23.050351
237,31.993818
243,19.051080
245,24.093522
248,29.976104
254,22.837473
255,21.203394
258,31.038033
265,11.705149
276,33.841721
277,29.602034
281,31.558458
283,66.181548
286,22.932311
290,24.927096
295,29.876311
298,16.758739
302,20.285242
307,22.652026
312,17.424717
319,20.784954
324,24.445001
328,14.104723
335,22.834879
347,26.431511
350,31.748853
365,16.869546
366,16.603224
369,73.764769
375,16.622363
382,13.161167
385,11.117224
387,10.874906
388,12.148079
396,14.937969
403,10.376108
405,9.207007
408,15.007118
411,11.150859
412,10.392768
416,7.917764
421,13.879085
431,10.613665
433,11.424157
444,11.884594
445,10.517054
452,18.934017
454,11.708832
458,15.467155
474,12.819936
477,12.572040
478,15.548161
479,19.934598
481,23.843665
486,20.812759
488,20.296510
492,26.867035
495,21.114828
496,19.977152
501,26.296224
502,22.201696
503,29.013612
505,14.149152
