ID,MEDV
0,16.379841
5,28.118874
10,17.793679
14,19.069794
19,16.641777
23,17.667834
32,14.366104
37,15.197455
50,18.014146
51,18.819485
54,21.538336
58,24.503003
59,19.182069
62,24.910749
67,18.665684
69,18.342732
81,22.328840
84,20.244232
87,15.781053
92,18.969557
96,15.196114
102,10.893881
103,17.761783
107,17.455270
109,18.419037
110,18.822378
115,13.543316
120,23.442802
122,23.620613
123,21.583888
135,24.374898
140,19.751974
141,20.071414
149,15.465759
154,15.690279
161,77.138727
165,16.541022
172,15.182262
176,15.374548
180,47.419875
200,34.477956
206,23.788667
211,18.682474
215,21.894885
219,20.406600
222,22.812610
223,25.792473
226,43.597149
229,22.275106
233,80.627408
234,23.053212
237,31.967055
243,19.056057
245,24.161412
248,30.036144
254,22.840069
255,21.220641
258,31.010081
265,11.695622
276,33.793853
277,29.594197
281,31.596740
283,66.315019
286,22.931040
290,24.835516
295,29.899747
298,16.742308
302,20.280960
307,22.576048
312,17.379073
319,20.768428
324,24.435265
328,14.116500
335,22.838939
347,26.398306
350,31.770276
365,17.024420
366,16.673985
369,74.361371
375,16.514608
382,13.138822
385,11.100808
387,10.874565
388,12.162644
396,14.872515
403,10.352432
405,9.184871
408,15.023615
411,11.164146
412,10.491239
416,7.903336
421,13.853716
431,10.600568
433,11.425050
444,11.879552
445,10.524898
452,18.891767
454,11.722771
458,15.451883
474,12.808003
477,12.569867
478,15.500469
479,19.915327
481,23.797295
486,20.799277
488,20.276942
492,26.846601
495,21.144855
496,19.993482
501,26.192640
502,22.118652
503,28.854391
505,14.047178
