ID,MEDV
0,16.452567
5,27.921585
10,17.791860
14,19.091743
19,16.641213
23,17.687665
32,14.330771
37,15.174524
50,17.931711
51,18.759833
54,21.569043
58,24.296422
59,19.079553
62,24.810776
67,18.601416
69,18.296404
81,22.367318
84,20.235718
87,15.806851
92,19.027914
96,15.251865
102,10.902042
103,17.851757
107,17.539133
109,18.516904
110,18.883906
115,13.586336
120,23.394264
122,23.597529
123,21.567691
135,24.551641
140,19.924888
141,20.039616
149,15.477502
154,15.763749
161,76.318388
165,16.493007
172,15.150518
176,15.377037
180,47.364955
200,34.509049
206,23.780103
211,18.628980
215,21.881908
219,20.468513
222,22.864634
223,25.738163
226,43.666994
229,22.201463
233,79.985387
234,23.034443
237,31.988702
243,19.034027
245,23.989331
248,29.893324
254,22.858121
255,21.209345
258,31.040859
265,11.704086
276,33.877560
277,29.598243
281,31.449007
283,65.950548
286,22.931573
290,24.972143
295,29.839860
298,16.786696
302,20.277106
307,22.664108
312,17.491385
319,20.834101
324,24.481055
328,14.184745
335,22.822132
347,26.490944
350,31.877451
365,16.636410
366,16.478253
369,72.941454
375,16.730440
382,13.157160
385,11.118508
387,10.863698
388,12.108525
396,14.981751
403,10.392141
405,9.255267
408,14.954023
411,11.130416
412,10.273854
416,7.934313
421,13.883646
431,10.620394
433,11.414424
444,11.881250
445,10.508720
452,18.948215
454,11.693243
458,15.468031
474,12.803276
477,12.554312
478,15.574611
479,19.928430
481,23.845288
486,20.783462
488,20.545565
492,27.198769
495,21.173050
496,20.029141
501,26.512436
502,22.370878
503,29.295568
505,14.311922
